[2026-08-21 13:40:30] BUILD start: none
  스캔 17400개 처리, GICP 성공 17068 실패 331 (필터폴백 0)
  스캔 17600개 처리, GICP 성공 17262 실패 337 (필터폴백 0)
  스캔 17800개 처리, GICP 성공 17460 실패 339 (필터폴백 0)
  스캔 18000개 처리, GICP 성공 17656 실패 343 (필터폴백 0)
  스캔 18200개 처리, GICP 성공 17856 실패 343 (필터폴백 0)
  스캔 18400개 처리, GICP 성공 18056 실패 343 (필터폴백 0)
  스캔 18600개 처리, GICP 성공 18253 실패 346 (필터폴백 0)
  스캔 18800개 처리, GICP 성공 18452 실패 347 (필터폴백 0)
  스캔 19000개 처리, GICP 성공 18652 실패 347 (필터폴백 0)
  스캔 19200개 처리, GICP 성공 18852 실패 347 (필터폴백 0)
  스캔 19400개 처리, GICP 성공 19040 실패 359 (필터폴백 0)
  스캔 19600개 처리, GICP 성공 19237 실패 362 (필터폴백 0)
  스캔 19800개 처리, GICP 성공 19435 실패 364 (필터폴백 0)
  스캔 20000개 처리, GICP 성공 19635 실패 364 (필터폴백 0)
  스캔 20200개 처리, GICP 성공 19835 실패 364 (필터폴백 0)
  스캔 20400개 처리, GICP 성공 20021 실패 378 (필터폴백 0)
  스캔 20600개 처리, GICP 성공 20221 실패 378 (필터폴백 0)
  스캔 20800개 처리, GICP 성공 20419 실패 380 (필터폴백 0)
  스캔 21000개 처리, GICP 성공 20619 실패 380 (필터폴백 0)
  스캔 21200개 처리, GICP 성공 20807 실패 392 (필터폴백 0)
  스캔 21400개 처리, GICP 성공 21003 실패 396 (필터폴백 0)
  스캔 21600개 처리, GICP 성공 21200 실패 399 (필터폴백 0)
  스캔 21800개 처리, GICP 성공 21399 실패 400 (필터폴백 0)
  스캔 22000개 처리, GICP 성공 21598 실패 401 (필터폴백 0)
  스캔 22200개 처리, GICP 성공 21790 실패 409 (필터폴백 0)
  스캔 22400개 처리, GICP 성공 21989 실패 410 (필터폴백 0)
  스캔 22600개 처리, GICP 성공 22188 실패 411 (필터폴백 0)
  스캔 22800개 처리, GICP 성공 22388 실패 411 (필터폴백 0)
  스캔 23000개 처리, GICP 성공 22586 실패 413 (필터폴백 0)
  스캔 23200개 처리, GICP 성공 22786 실패 413 (필터폴백 0)
  스캔 23400개 처리, GICP 성공 22986 실패 413 (필터폴백 0)
  스캔 23600개 처리, GICP 성공 23186 실패 413 (필터폴백 0)
  스캔 23800개 처리, GICP 성공 23386 실패 413 (필터폴백 0)
  스캔 24000개 처리, GICP 성공 23586 실패 413 (필터폴백 0)
  스캔 24200개 처리, GICP 성공 23786 실패 413 (필터폴백 0)
  스캔 24400개 처리, GICP 성공 23986 실패 413 (필터폴백 0)
  스캔 24600개 처리, GICP 성공 24186 실패 413 (필터폴백 0)
  스캔 24800개 처리, GICP 성공 24386 실패 413 (필터폴백 0)
  스캔 25000개 처리, GICP 성공 24586 실패 413 (필터폴백 0)
  스캔 25200개 처리, GICP 성공 24786 실패 413 (필터폴백 0)
  스캔 25400개 처리, GICP 성공 24986 실패 413 (필터폴백 0)
  스캔 25600개 처리, GICP 성공 25186 실패 413 (필터폴백 0)
  스캔 25800개 처리, GICP 성공 25386 실패 413 (필터폴백 0)
  스캔 26000개 처리, GICP 성공 25586 실패 413 (필터폴백 0)
  스캔 26200개 처리, GICP 성공 25786 실패 413 (필터폴백 0)
  스캔 26400개 처리, GICP 성공 25986 실패 413 (필터폴백 0)
[WARN] [1787287557.952647584] [rosbag2_storage_mcap]: attempted to read in receive timestamp order with no message index
  스캔 26600개 처리, GICP 성공 26186 실패 413 (필터폴백 0)
  스캔 26800개 처리, GICP 성공 26386 실패 413 (필터폴백 0)
  스캔 27000개 처리, GICP 성공 26586 실패 413 (필터폴백 0)
  스캔 27200개 처리, GICP 성공 26786 실패 413 (필터폴백 0)
  스캔 27400개 처리, GICP 성공 26985 실패 414 (필터폴백 0)
전처리=none (gicp_downsample=0.3)
스캔 27598개 (TF 조회 실패로 스킵 29개)
GICP: 성공 27183, 실패(GT로 대체) 414 (그 중 수렴했지만 이동량 상한 2.0m 초과로 기각 52), 첫 스캔이라 스킵 1
baseline 점 338741908개 -> /tmp/gicp_preproc/baseline_none.npy
방법B(none) 점 338741908개 -> /tmp/gicp_preproc/methodb_none.npy
[2026-08-21 13:48:11] BUILD done: none (exit 0)
[2026-08-21 13:48:11] SCORE start: methodb_none
[methodb_none] wheel FN%=52.94% (GT통과가능 618378개 중 pipeline이 막힘판정 327365개, 미측정 1.0%)
[methodb_none] leg FN%=44.41% (GT통과가능 618378개 중 pipeline이 막힘판정 274641개, 미측정 1.0%)
[methodb_none] 저장: /tmp/gicp_preproc/methodb_none_fn.json
